,V1_count,V1_geod,V1_max,alpha,beta,depth,ffa_count,ffa_geod,ffa_max,ffg_count,ffg_geod,ffg_max,gof,hemi,model,n_tasks,ns,power,source_max,subject
0,0.2222222222222222,4.474708181301248,0.48864150685380375,2.0,0.05,0.9,0.0,3.511278658962684,0.04601818865526948,0.0,3.1636883883999958,0.2684879085272902,0.2399132115184336,lh,re-mwe-S16,16.0,2304.0,1.0,3.1780857171972388,sub002
1,0.1111111111111111,3.1313495638799007,0.5801351658335437,2.0,0.05,0.9,0.0,9.242280679191019,0.12574629041952504,0.0,7.857894344783306,0.32854751074538985,0.2399132115184336,rh,re-mwe-S16,16.0,2317.0,1.0,4.091080810813172,sub002
2,0.1111111111111111,4.727710950635052,0.37334256296256757,2.0,0.05,0.9,0.0,6.754851488909865,0.1520708090537683,0.1111111111111111,6.176604790245125,0.3484872247030556,0.27859875465290507,lh,re-mwe-S16,16.0,2304.0,1.0,1.4938398312441916,sub003
3,0.0,6.286258623750071,0.2599755374673114,2.0,0.05,0.9,0.0,8.674699142785045,0.30182060117879433,0.0,7.764308426135251,0.28420113027213506,0.27859875465290507,rh,re-mwe-S16,16.0,2317.0,1.0,2.6253095924275356,sub003
4,0.0,8.809826051395998,0.38212046762832025,2.0,0.05,0.9,0.0,10.17547622607802,0.08879804146638433,0.1111111111111111,9.37325710267112,0.44595067716728665,0.37479029794070795,lh,re-mwe-S16,16.0,2304.0,1.0,5.316783684796914,sub004
5,0.1111111111111111,7.567151801206721,0.4202811477920036,2.0,0.05,0.9,0.0,9.780864755180476,0.1471441104780263,0.0,8.869265140415806,0.3604975693330322,0.37479029794070795,rh,re-mwe-S16,16.0,2317.0,1.0,3.788992977546647,sub004
6,0.0,3.015042128269427,0.3259806401522071,2.0,0.05,0.9,0.0,4.982258883551729,0.05728784020627501,0.1111111111111111,4.431916985759742,0.5661837634262643,0.25295135772459865,lh,re-mwe-S16,16.0,2304.0,1.0,3.07358264161091,sub006
7,0.0,3.0090514070214196,0.2894919943526086,2.0,0.05,0.9,0.0,5.328702902167223,0.15639755897949584,0.1111111111111111,4.055574112751957,0.29328527819811806,0.25295135772459865,rh,re-mwe-S16,16.0,2317.0,1.0,1.8066440721122932,sub006
8,0.4444444444444444,2.854032528367692,0.7770839838994459,2.0,0.05,0.9,0.0,5.148393890258154,0.17322784537535696,0.0,4.7375333917665206,0.35386971144132295,0.4897848466683111,lh,re-mwe-S16,16.0,2304.0,1.0,4.564429837602973,sub007
9,0.0,3.1313495638799007,0.5247697872038569,2.0,0.05,0.9,0.0,9.242280679191019,0.32433445549249623,0.2222222222222222,7.857894344783306,0.5474096320421635,0.4897848466683111,rh,re-mwe-S16,16.0,2317.0,1.0,3.65568698023711,sub007
10,0.0,9.38502844045514,0.40024080066713397,2.0,0.05,0.9,0.0,7.059254300805622,0.03983961296284279,0.0,6.895197575332079,0.358143850829645,0.29723984375158174,lh,re-mwe-S16,16.0,2304.0,1.0,4.128718581331782,sub008
11,0.0,5.528220706192382,0.20875801341642977,2.0,0.05,0.9,0.1111111111111111,2.4200548192578726,0.3278038548644735,0.1111111111111111,1.7864404915774146,0.48433202932295455,0.29723984375158174,rh,re-mwe-S16,16.0,2317.0,1.0,1.999670648999812,sub008
12,0.0,3.284828595702478,0.34978264251520025,2.0,0.05,0.9,0.0,4.80229617966564,0.1999688146344736,0.1111111111111111,4.210603266822559,0.4817846284981467,0.36950582501499385,lh,re-mwe-S16,16.0,2304.0,1.0,4.5639245701517765,sub009
13,0.0,6.286258623750071,0.242318195859431,2.0,0.05,0.9,0.0,8.674699142785045,0.2077827310220646,0.2222222222222222,7.764308426135251,0.4683672809049021,0.36950582501499385,rh,re-mwe-S16,16.0,2317.0,1.0,3.7845211660898945,sub009
14,0.0,3.015042128269427,0.3852359991882041,2.0,0.05,0.9,0.0,4.982258883551729,0.0883610195278909,0.0,4.431916985759742,0.4724176033285688,0.35816972939750313,lh,re-mwe-S16,16.0,2304.0,1.0,3.5243335160669673,sub010
15,0.1111111111111111,5.228499687264478,0.6283354467746868,2.0,0.05,0.9,0.0,8.474638131915002,0.4189804530320758,0.0,7.5495970872556,0.4189804530320758,0.35816972939750313,rh,re-mwe-S16,16.0,2317.0,1.0,3.7535609442284996,sub010
16,0.1111111111111111,3.015042128269427,0.6874149179280982,2.0,0.05,0.9,0.0,4.982258883551729,0.08307868505174255,0.1111111111111111,4.431916985759742,0.4519259863320102,0.3099053160860259,lh,re-mwe-S16,16.0,2304.0,1.0,5.964501607919427,sub011
17,0.2222222222222222,6.030248449937528,0.3736172548392744,2.0,0.05,0.9,0.0,5.66713993490449,0.17743484217222574,0.1111111111111111,5.214255004705768,0.4445140326468273,0.3099053160860259,rh,re-mwe-S16,16.0,2317.0,1.0,5.926390685232679,sub011
18,0.0,4.297205101257141,0.4015908052742407,2.0,0.05,0.9,0.0,7.493105885931723,0.19647136617588684,0.0,6.914859187266981,0.42730671779117857,0.2880470087563698,lh,re-mwe-S16,16.0,2304.0,1.0,1.9181277749213566,sub012
19,0.1111111111111111,5.528220706192382,0.7366059060711063,2.0,0.05,0.9,0.0,2.4200548192578726,0.1542166437766559,0.1111111111111111,1.7864404915774146,1.0,0.2880470087563698,rh,re-mwe-S16,16.0,2317.0,1.0,2.5807974545208943,sub012
20,0.2222222222222222,2.4672662411530086,1.0,2.0,0.05,0.9,0.0,5.489504316361271,0.17313069333736833,0.0,5.0246244329145116,0.24160444202540426,0.2549263506689725,lh,re-mwe-S16,16.0,2304.0,1.0,4.794971113659751,sub013
