,alpha,beta,depth,gof,hemi,model,n_tasks,ns,power,subject
53,20.0,0.15,0.9,0.0016067805261926749,rh,mwe-S32,32.0,2557.0,1.0,CC121411
54,20.0,0.15,0.9,0.000709654967892881,lh,mwe-S32,32.0,2554.0,1.0,CC121428
55,20.0,0.15,0.9,0.000709654967892881,rh,mwe-S32,32.0,2557.0,1.0,CC121428
56,20.0,0.15,0.9,0.0006222214912460222,lh,mwe-S32,32.0,2559.0,1.0,CC122172
57,20.0,0.15,0.9,0.0006222214912460222,rh,mwe-S32,32.0,2553.0,1.0,CC122172
58,20.0,0.15,0.9,0.0031842558287593636,lh,mwe-S32,32.0,2555.0,1.0,CC210519
59,20.0,0.15,0.9,0.0031842558287593636,rh,mwe-S32,32.0,2552.0,1.0,CC210519
60,20.0,0.15,0.9,0.003473651804089095,lh,mwe-S32,32.0,2560.0,1.0,CC220526
61,20.0,0.15,0.9,0.003473651804089095,rh,mwe-S32,32.0,2562.0,1.0,CC220526
62,20.0,0.15,0.9,0.0030834598907808486,lh,mwe-S32,32.0,2552.0,1.0,CC221373
63,20.0,0.15,0.9,0.0030834598907808486,rh,mwe-S32,32.0,2556.0,1.0,CC221373
64,4.0,0.15,0.9,0.9840316991034527,lh,mwe-S32,32.0,2562.0,1.0,CC110033
65,4.0,0.15,0.9,0.9840316991034527,rh,mwe-S32,32.0,2562.0,1.0,CC110033
66,4.0,0.15,0.9,0.9946464155063977,lh,mwe-S32,32.0,2562.0,1.0,CC110101
67,4.0,0.15,0.9,0.9946464155063977,rh,mwe-S32,32.0,2562.0,1.0,CC110101
68,4.0,0.15,0.9,0.9941857004730446,lh,mwe-S32,32.0,2562.0,1.0,CC110187
69,4.0,0.15,0.9,0.9941857004730446,rh,mwe-S32,32.0,2562.0,1.0,CC110187
70,4.0,0.15,0.9,0.9874886422575558,lh,mwe-S32,32.0,2562.0,1.0,CC110411
71,4.0,0.15,0.9,0.9874886422575558,rh,mwe-S32,32.0,2562.0,1.0,CC110411
72,4.0,0.15,0.9,0.9857123194295325,lh,mwe-S32,32.0,2562.0,1.0,CC110606
73,4.0,0.15,0.9,0.9857123194295325,rh,mwe-S32,32.0,2562.0,1.0,CC110606
74,4.0,0.15,0.9,0.983029248996065,lh,mwe-S32,32.0,2562.0,1.0,CC112141
75,4.0,0.15,0.9,0.983029248996065,rh,mwe-S32,32.0,2562.0,1.0,CC112141
76,4.0,0.15,0.9,0.9916240737680404,lh,mwe-S32,32.0,2562.0,1.0,CC120008
77,4.0,0.15,0.9,0.9916240737680404,rh,mwe-S32,32.0,2562.0,1.0,CC120008
78,4.0,0.15,0.9,0.995764302426218,lh,mwe-S32,32.0,2562.0,1.0,CC120049
79,4.0,0.15,0.9,0.995764302426218,rh,mwe-S32,32.0,2562.0,1.0,CC120049
80,4.0,0.15,0.9,0.9845717972698231,lh,mwe-S32,32.0,2562.0,1.0,CC120061
81,4.0,0.15,0.9,0.9845717972698231,rh,mwe-S32,32.0,2562.0,1.0,CC120061
82,4.0,0.15,0.9,0.9920570391255897,lh,mwe-S32,32.0,2562.0,1.0,CC120120
83,4.0,0.15,0.9,0.9920570391255897,rh,mwe-S32,32.0,2562.0,1.0,CC120120
84,4.0,0.15,0.9,0.9843370583025145,lh,mwe-S32,32.0,2562.0,1.0,CC120166
85,4.0,0.15,0.9,0.9843370583025145,rh,mwe-S32,32.0,2562.0,1.0,CC120166
86,4.0,0.15,0.9,0.9962863393504438,lh,mwe-S32,32.0,2562.0,1.0,CC120182
87,4.0,0.15,0.9,0.9962863393504438,rh,mwe-S32,32.0,2562.0,1.0,CC120182
88,4.0,0.15,0.9,0.9702351371929565,lh,mwe-S32,32.0,2562.0,1.0,CC120218
89,4.0,0.15,0.9,0.9702351371929565,rh,mwe-S32,32.0,2562.0,1.0,CC120218
90,4.0,0.15,0.9,0.9967034863824995,lh,mwe-S32,32.0,2562.0,1.0,CC120264
91,4.0,0.15,0.9,0.9967034863824995,rh,mwe-S32,32.0,2562.0,1.0,CC120264
92,4.0,0.15,0.9,0.9840937560154317,lh,mwe-S32,32.0,2562.0,1.0,CC120309
93,4.0,0.15,0.9,0.9840937560154317,rh,mwe-S32,32.0,2561.0,1.0,CC120309
94,4.0,0.15,0.9,0.9952967877325724,lh,mwe-S32,32.0,2562.0,1.0,CC120313
95,4.0,0.15,0.9,0.9952967877325724,rh,mwe-S32,32.0,2562.0,1.0,CC120313
96,4.0,0.15,0.9,0.9925588510757605,lh,mwe-S32,32.0,2562.0,1.0,CC120319
97,4.0,0.15,0.9,0.9925588510757605,rh,mwe-S32,32.0,2562.0,1.0,CC120319
98,4.0,0.15,0.9,0.9723071251640706,lh,mwe-S32,32.0,2562.0,1.0,CC120376
99,4.0,0.15,0.9,0.9723071251640706,rh,mwe-S32,32.0,2562.0,1.0,CC120376
100,4.0,0.15,0.9,0.9907588133692459,lh,mwe-S32,32.0,2562.0,1.0,CC120469
101,4.0,0.15,0.9,0.9907588133692459,rh,mwe-S32,32.0,2562.0,1.0,CC120469
102,4.0,0.15,0.9,0.98028907575696,lh,mwe-S32,32.0,2562.0,1.0,CC120550
103,4.0,0.15,0.9,0.98028907575696,rh,mwe-S32,32.0,2562.0,1.0,CC120550
104,4.0,0.15,0.9,0.9875511801910971,lh,mwe-S32,32.0,2562.0,1.0,CC120640
105,4.0,0.15,0.9,0.9875511801910971,rh,mwe-S32,32.0,2562.0,1.0,CC120640
106,4.0,0.15,0.9,0.9907038485723777,lh,mwe-S32,32.0,2562.0,1.0,CC120727
107,4.0,0.15,0.9,0.9907038485723777,rh,mwe-S32,32.0,2562.0,1.0,CC120727
108,4.0,0.15,0.9,0.981687916723883,lh,mwe-S32,32.0,2562.0,1.0,CC120795
109,4.0,0.15,0.9,0.981687916723883,rh,mwe-S32,32.0,2562.0,1.0,CC120795
110,4.0,0.15,0.9,0.9940553898379231,lh,mwe-S32,32.0,2562.0,1.0,CC121106
111,4.0,0.15,0.9,0.9940553898379231,rh,mwe-S32,32.0,2562.0,1.0,CC121106
112,4.0,0.15,0.9,0.9643576385419733,lh,mwe-S32,32.0,2562.0,1.0,CC121111
113,4.0,0.15,0.9,0.9643576385419733,rh,mwe-S32,32.0,2562.0,1.0,CC121111
114,4.0,0.15,0.9,0.9942311860430173,lh,mwe-S32,32.0,2562.0,1.0,CC121144
115,4.0,0.15,0.9,0.9942311860430173,rh,mwe-S32,32.0,2562.0,1.0,CC121144
116,4.0,0.15,0.9,0.9720651655858662,lh,mwe-S32,32.0,2562.0,1.0,CC121411
117,4.0,0.15,0.9,0.9720651655858662,rh,mwe-S32,32.0,2562.0,1.0,CC121411
118,4.0,0.15,0.9,0.9932253204064713,lh,mwe-S32,32.0,2562.0,1.0,CC121428
119,4.0,0.15,0.9,0.9932253204064713,rh,mwe-S32,32.0,2562.0,1.0,CC121428
120,4.0,0.15,0.9,0.9907308775689142,lh,mwe-S32,32.0,2562.0,1.0,CC122172
121,4.0,0.15,0.9,0.9907308775689142,rh,mwe-S32,32.0,2562.0,1.0,CC122172
122,4.0,0.15,0.9,0.9890009560475578,lh,mwe-S32,32.0,2562.0,1.0,CC210519
123,4.0,0.15,0.9,0.9890009560475578,rh,mwe-S32,32.0,2562.0,1.0,CC210519
124,4.0,0.15,0.9,0.9815588825415157,lh,mwe-S32,32.0,2562.0,1.0,CC220526
125,4.0,0.15,0.9,0.9815588825415157,rh,mwe-S32,32.0,2562.0,1.0,CC220526
126,4.0,0.15,0.9,0.9857537855670903,lh,mwe-S32,32.0,2562.0,1.0,CC221373
127,4.0,0.15,0.9,0.9857537855670903,rh,mwe-S32,32.0,2562.0,1.0,CC221373
128,5.0,0.15,0.9,0.9823514876477775,lh,mwe-S32,32.0,2562.0,1.0,CC110033
