,alpha,beta,depth,gof,hemi,model,n_tasks,ns,power,source_max,subject
45,20,0.15,0.9,-0.00010380250969577176,rh,re-mwe-S32,32.0,2562.0,1.0,0.0046223971612354,CC120795
46,20,0.15,0.9,0.0006368861690565497,lh,re-mwe-S32,32.0,2562.0,1.0,0.01131737989695578,CC121106
47,20,0.15,0.9,0.0006368861690565497,rh,re-mwe-S32,32.0,2562.0,1.0,0.009441442643401118,CC121106
48,20,0.15,0.9,9.095913433698755e-05,lh,re-mwe-S32,32.0,2562.0,1.0,0.00330614808163094,CC121111
49,20,0.15,0.9,9.095913433698755e-05,rh,re-mwe-S32,32.0,2562.0,1.0,0.00474858927080838,CC121111
50,20,0.15,0.9,0.00015683117565734594,lh,re-mwe-S32,32.0,2562.0,1.0,0.0038264298260862165,CC121144
51,20,0.15,0.9,0.00015683117565734594,rh,re-mwe-S32,32.0,2562.0,1.0,0.003075312715163082,CC121144
52,20,0.15,0.9,0.0016067805261926749,lh,re-mwe-S32,32.0,2562.0,1.0,0.0036797846998232134,CC121411
53,20,0.15,0.9,0.0016067805261926749,rh,re-mwe-S32,32.0,2562.0,1.0,0.006784398843845638,CC121411
54,20,0.15,0.9,0.000709654967892881,lh,re-mwe-S32,32.0,2562.0,1.0,0.0074765089145562525,CC121428
55,20,0.15,0.9,0.000709654967892881,rh,re-mwe-S32,32.0,2562.0,1.0,0.005908252624371277,CC121428
56,20,0.15,0.9,0.0006222214912460222,lh,re-mwe-S32,32.0,2562.0,1.0,0.004684189365593062,CC122172
57,20,0.15,0.9,0.0006222214912460222,rh,re-mwe-S32,32.0,2562.0,1.0,0.005658699679585488,CC122172
58,20,0.15,0.9,0.0031842558287593636,lh,re-mwe-S32,32.0,2562.0,1.0,0.00641936342969328,CC210519
59,20,0.15,0.9,0.0031842558287593636,rh,re-mwe-S32,32.0,2562.0,1.0,0.0058587002424629565,CC210519
60,20,0.15,0.9,0.003473651804089095,lh,re-mwe-S32,32.0,2562.0,1.0,0.007830691956636797,CC220526
61,20,0.15,0.9,0.003473651804089095,rh,re-mwe-S32,32.0,2562.0,1.0,0.006895498722737287,CC220526
62,20,0.15,0.9,0.0030834598907808486,lh,re-mwe-S32,32.0,2562.0,1.0,0.005018511620703984,CC221373
63,20,0.15,0.9,0.0030834598907808486,rh,re-mwe-S32,32.0,2562.0,1.0,0.005109373756452158,CC221373
64,1.0,0.4,0.9,0.6363428391662287,lh,re-mwe-S32,32.0,1.0,1.0,15.507803160313728,CC110033
65,1.0,0.4,0.9,0.6363428391662287,rh,re-mwe-S32,32.0,3.0,1.0,6.053408577182974,CC110033
66,1.0,0.4,0.9,0.530880871944794,lh,re-mwe-S32,32.0,1.0,1.0,9.955051115476124,CC110101
67,1.0,0.4,0.9,0.530880871944794,rh,re-mwe-S32,32.0,3.0,1.0,10.754014043036868,CC110101
68,1.0,0.4,0.9,0.5624483815433274,lh,re-mwe-S32,32.0,1.0,1.0,10.90687264355122,CC110187
69,1.0,0.4,0.9,0.5624483815433274,rh,re-mwe-S32,32.0,3.0,1.0,12.9721545182032,CC110187
70,1.0,0.4,0.9,0.586088477992106,lh,re-mwe-S32,32.0,2.0,1.0,7.318350122711526,CC110411
71,1.0,0.4,0.9,0.586088477992106,rh,re-mwe-S32,32.0,2.0,1.0,14.837412811676112,CC110411
72,1.0,0.4,0.9,0.40221097426240593,lh,re-mwe-S32,32.0,2.0,1.0,7.047576382563345,CC110606
73,1.0,0.4,0.9,0.40221097426240593,rh,re-mwe-S32,32.0,3.0,1.0,16.775294026405007,CC110606
74,1.0,0.4,0.9,0.6290546051038155,lh,re-mwe-S32,32.0,1.0,1.0,15.906273912978316,CC112141
75,1.0,0.4,0.9,0.6290546051038155,rh,re-mwe-S32,32.0,3.0,1.0,35.42219400007719,CC112141
76,1.0,0.4,0.9,0.5626908736627404,lh,re-mwe-S32,32.0,1.0,1.0,11.008289790015143,CC120008
77,1.0,0.4,0.9,0.5626908736627404,rh,re-mwe-S32,32.0,2.0,1.0,15.816335882902374,CC120008
78,1.0,0.4,0.9,0.5568892417219742,lh,re-mwe-S32,32.0,1.0,1.0,16.84579416726893,CC120049
79,1.0,0.4,0.9,0.5568892417219742,rh,re-mwe-S32,32.0,2.0,1.0,19.636509012782174,CC120049
80,1.0,0.4,0.9,0.6008461565490859,lh,re-mwe-S32,32.0,2.0,1.0,5.916075472363363,CC120061
81,1.0,0.4,0.9,0.6008461565490859,rh,re-mwe-S32,32.0,3.0,1.0,8.382320314225135,CC120061
82,1.0,0.4,0.9,0.688859190392862,lh,re-mwe-S32,32.0,1.0,1.0,7.760962320666789,CC120120
83,1.0,0.4,0.9,0.688859190392862,rh,re-mwe-S32,32.0,2.0,1.0,21.645716530852056,CC120120
84,1.0,0.4,0.9,0.3951540847193378,lh,re-mwe-S32,32.0,1.0,1.0,10.10115190628212,CC120166
85,1.0,0.4,0.9,0.3951540847193378,rh,re-mwe-S32,32.0,2.0,1.0,10.904225414366941,CC120166
86,1.0,0.4,0.9,0.5956593847395886,lh,re-mwe-S32,32.0,1.0,1.0,16.36576515058611,CC120182
87,1.0,0.4,0.9,0.5956593847395886,rh,re-mwe-S32,32.0,3.0,1.0,22.39138282271997,CC120182
88,1.0,0.4,0.9,0.6043081301184853,lh,re-mwe-S32,32.0,1.0,1.0,11.15639514470439,CC120218
89,1.0,0.4,0.9,0.6043081301184853,rh,re-mwe-S32,32.0,3.0,1.0,13.098851150944421,CC120218
90,1.0,0.4,0.9,0.45349791796278693,lh,re-mwe-S32,32.0,1.0,1.0,12.043549240952116,CC120264
91,1.0,0.4,0.9,0.45349791796278693,rh,re-mwe-S32,32.0,2.0,1.0,29.41812848222543,CC120264
92,1.0,0.4,0.9,0.5665877228994411,lh,re-mwe-S32,32.0,2.0,1.0,5.298573665507337,CC120309
93,1.0,0.4,0.9,0.5665877228994411,rh,re-mwe-S32,32.0,2.0,1.0,15.877594725408985,CC120309
94,1.0,0.4,0.9,0.4956954632812226,lh,re-mwe-S32,32.0,1.0,1.0,14.567687252591233,CC120313
95,1.0,0.4,0.9,0.4956954632812226,rh,re-mwe-S32,32.0,3.0,1.0,11.542301424522622,CC120313
96,1.0,0.4,0.9,0.6068802035868581,lh,re-mwe-S32,32.0,1.0,1.0,7.811332152342033,CC120319
97,1.0,0.4,0.9,0.6068802035868581,rh,re-mwe-S32,32.0,2.0,1.0,19.814049082887443,CC120319
98,1.0,0.4,0.9,0.6000833148008206,lh,re-mwe-S32,32.0,1.0,1.0,18.104406159868365,CC120376
99,1.0,0.4,0.9,0.6000833148008206,rh,re-mwe-S32,32.0,3.0,1.0,12.449781765625698,CC120376
100,1.0,0.4,0.9,0.5869774698154967,lh,re-mwe-S32,32.0,1.0,1.0,13.612216441784726,CC120469
101,1.0,0.4,0.9,0.5869774698154967,rh,re-mwe-S32,32.0,2.0,1.0,27.64060581973623,CC120469
102,1.0,0.4,0.9,0.5739869501351103,lh,re-mwe-S32,32.0,1.0,1.0,10.576031233960478,CC120550
103,1.0,0.4,0.9,0.5739869501351103,rh,re-mwe-S32,32.0,3.0,1.0,8.571510453263905,CC120550
104,1.0,0.4,0.9,0.6737004035818417,lh,re-mwe-S32,32.0,1.0,1.0,7.739307766514289,CC120640
105,1.0,0.4,0.9,0.6737004035818417,rh,re-mwe-S32,32.0,2.0,1.0,24.172892288745704,CC120640
106,1.0,0.4,0.9,0.4101523556179799,lh,re-mwe-S32,32.0,1.0,1.0,21.003369459326112,CC120727
107,1.0,0.4,0.9,0.4101523556179799,rh,re-mwe-S32,32.0,3.0,1.0,14.552480909418597,CC120727
